2012 Domain Star View: Medicare Part C Report Card Master Table,,,,,,,,
Contract Number,Organization Type,Parent Organization,Organization Marketing Name,"Staying Healthy: Screenings, Tests and Vaccines",Managing Chronic (Long Term) Conditions,Ratings of Plan Responsiveness and Care,"Health Plan Members’ Complaints, Appeals, and Choosing to Leave the Health Plan",Health Plan Customer Service
H4524,Local CCP,Aetna Inc.,Aetna Medicare,4 out of 5 stars,4 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H4525,Local CCP,Covenant Health System - Hendrick Health System,FirstCare Advantage,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,Not enough data to calculate stars for this category
H4527,Local CCP,"UnitedHealth Group, Inc.",PHYSICIANS HEALTH CHOICE,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H4528,Local CCP,"HealthSpring, Inc.",Bravo Health,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,5 stars
H4529,Local CCP,Arcadian Management Services Inc.,Texas Community Care,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H4564,1876 Cost,Scott and White Healthcare,Scott and White Health Plan SeniorCare,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,4 out of 5 stars
H4590,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H4604,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H4605,Local CCP,The Regence Group,Regence BlueCross BlueShield of Utah,3 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars,4 out of 5 stars
H4606,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H4738,Local CCP,"America's 1st Choice Health Plans, Inc.","America's 1st Choice Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data to calculate stars for this category,Plan too new to be measured
H4754,Local CCP,PacificSource Health Plans,PacificSource Medicare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H4785,PFFS,Humana Inc.,"Humana Health Benefit Plan of Louisiana, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data to calculate stars for this category,Plan too new to be measured
H4837,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare Community Plan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,Not enough data to calculate stars for this category
H4866,Local CCP,Cuatro LLC.,Access Medicare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data to calculate stars for this category,Plan too new to be measured
H4875,Local CCP,Spectrum Health System,Priority Health Medicare,Not enough data to calculate stars for this category,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,5 stars
H4909,Local CCP,"WellPoint, Inc.",Anthem Blue Cross and Blue Shield,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H4910,Local CCP,Aetna Inc.,Aetna Medicare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H4956,Local CCP,Humana Inc.,Humana Insurance Company,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H4971,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H5005,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5006,PFFS,Munich American Holding Corporation,Sterling Life Insurance Company,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H5008,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5009,Local CCP,The Regence Group,Regence BlueShield,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H5010,Local CCP,The Regence Group,Asuris Northwest Health,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H5016,Local CCP,Providence Health & Services,Providence Health Plans,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data to calculate stars for this category,Plan too new to be measured
H5041,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H5042,Local CCP,"Capital District Physicians' Health Plan, Inc.",CDPHP Medicare Choices,4 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,5 stars
H5050,Local CCP,Group Health Cooperative,Group Health Cooperative,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,5 stars
H5087,Local CCP,Easy Choice Health Plan Inc.,Easy Choice Health Plan,3 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category,3 out of 5 stars,Not enough data to calculate stars for this category
H5096,Local CCP,"Universal Health Care Group, Inc.","Universal Health Care Insurance Company, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5106,Local CCP,Highmark Inc.,Highmark Health Insurance Company,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H5151,Local CCP,Health Plan of the Upper Ohio Valley,The Health Plan,3 out of 5 stars,4 out of 5 stars,5 stars,5 stars,4 out of 5 stars
H5162,Local CCP,Munich American Holding Corporation,Sterling Life Insurance Company,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,Not enough data to calculate stars for this category
H5206,Local CCP,"Community Health Partnership, Inc.",Community Health Partnership,4 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H5207,Local CCP,"Community Care, Inc.",Community Care,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5209,Local CCP,"Care Wisconsin First, Inc.","Care Wisconsin Health Plan, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H5211,Local CCP,Marshfield Clinic.,Advocare,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,5 stars
H5214,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5215,Local CCP,Affinity Health System,Network Platinum Medicare Advantage Plans,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,4 out of 5 stars
H5216,Local CCP,Humana Inc.,Humana Insurance Company,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5253,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5256,1876 Cost,Medical Associates Clinic,Medical Associates Clinic Health Plan of Wisconsin,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,Not enough data to calculate stars for this category
H5262,Local CCP,Gundersen Lutheran Health System Inc.,"Gundersen Lutheran Health Plan, Inc.",4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,4 out of 5 stars
H5264,1876 Cost,Dean Health Systems Inc.,"Dean Health Plan, Inc.",4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,Not enough data to calculate stars for this category
H5291,Local CCP,Humana Inc.,"Humana Health Plan, Inc.",3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H5294,Local CCP,Centene Corporation,Advantage by Superior HealthPlan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,Not enough data to calculate stars for this category
H5302,Local CCP,Coventry Health Care Inc.,Coventry Health Care,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H5378,Local CCP,Universal American Corp.,Universal American Corp.,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,1 out of 5 stars,4 out of 5 stars
H5402,Local CCP,"QHP Group, Inc.",Quality Health Plans,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H5404,Local CCP,"Universal Health Care Group, Inc.","Universal Health Care, Inc.",3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H5407,Local CCP,"UnitedHealth Group, Inc.","Citrus Health Care, Inc.",3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H5410,Local CCP,"HealthSpring, Inc.","HealthSpring of Florida, Inc.",4 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,3 out of 5 stars
H5414,Local CCP,Aetna Inc.,Aetna Medicare,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,1 out of 5 stars,5 stars
H5415,Local CCP,Humana Inc.,"Humana Health Insurance Company of FL, Inc.",4 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category,2 out of 5 stars,Not enough data to calculate stars for this category
H5416,Local CCP,Arcadian Management Services Inc.,Arcadian Health Plan,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,1 out of 5 stars,4 out of 5 stars
H5417,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category,3 out of 5 stars,4 out of 5 stars
H5420,Local CCP,"Medica HealthCare Plans, Inc.","Medica HealthCare Plans, Inc.",3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H5421,PFFS,Universal American Corp.,Universal American Corp.,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,1 out of 5 stars,4 out of 5 stars
H5422,Local CCP,"WellPoint, Inc.",Blue Cross Blue Shield Healthcare Plan of Georgia,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars
H5424,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5425,Local CCP,SCAN Health Plan,SCAN Health Plan,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H5426,Local CCP,Humana Inc.,"Humana AdvantageCare Plan, Inc.",3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5427,Local CCP,"America's 1st Choice Holdings of Florida, LLC","Freedom Health, Inc.",3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,5 stars
H5428,Local CCP,Health Plan of San Mateo,Health Plan of San Mateo,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H5429,Local CCP,"Universal Health Care Group, Inc.","Universal Health Care, Inc.",3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H5430,Local CCP,Care1st Health Plan,"ONECare by Care1st Health Plan Arizona, Inc.",3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H5431,Local CCP,"HealthSun Health Plans, Inc","HealthSun Health Plans, Inc.",3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H5433,Local CCP,CalOptima,OneCare,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars
H5434,Local CCP,Blue Cross and Blue Shield of Florida,"Blue Cross and Blue Shield of Florida, Inc.",3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H5435,PFFS,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H5439,Local CCP,"Health Net, Inc.",Health Net Life Insurance Company,4 out of 5 stars,4 out of 5 stars,2 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H5440,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,Not enough data to calculate stars for this category
H5470,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H5471,Local CCP,"Simply Healthcare Holdings, Inc.","Simply Healthcare Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5475,Local CCP,"Caidan Enterprises, Inc.",Health Plan of Michigan Gold Plan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data to calculate stars for this category,Plan too new to be measured
H5507,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H5508,Local CCP,Advantage Health Solutions,"ADVANTAGE Health Solutions, Inc.",4 out of 5 stars,2 out of 5 stars,5 stars,4 out of 5 stars,4 out of 5 stars
H5509,Local CCP,Coventry Health Care Inc.,COVENTRY HEALTH CARE,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H5516,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H5520,Local CCP,"Health Net, Inc.",Health Net Medicare Advantage,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5521,Local CCP,Aetna Inc.,Aetna Medicare,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H5522,Local CCP,Coventry Health Care Inc.,HealthAmerica,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H5525,Local CCP,Humana Inc.,"Humana Benefit Plan of Illinois, Inc.",3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5526,Local CCP,HealthNow New York Inc.,BlueCross BlueShield of WNY or BlueShield of NENY,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H5528,Local CCP,"EmblemHealth, Inc.",EmblemHealth Medicare PPO,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,1 out of 5 stars,4 out of 5 stars
H5529,Local CCP,"WellPoint, Inc.",Anthem Blue Cross and Blue Shield,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H5530,Local CCP,"WellPoint, Inc.",Anthem Blue Cross and Blue Shield,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H5532,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H5533,Local CCP,University of Pittsburgh Medical Center,UPMC Health Plan,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H5549,Local CCP,Visiting Nurse Service of New York,VNSNY CHOICE Medicare,3 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category,3 out of 5 stars,3 out of 5 stars
H5575,Local CCP,Fidelis SecureCare,Fidelis SecureCare of North Carolina,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5 stars
H5576,Local CCP,"Vantage Health Plan, Inc.","Vantage Health Plan, Inc.",3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H5577,Local CCP,"Medical Card System, Inc.",MCS Classicare,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H5578,Local CCP,Arcadian Management Services Inc.,Southeast Community Care,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H5580,Local CCP,Southwest Catholic Health Network,Mercy Care Advantage,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars
H5587,Local CCP,IASIS Healthcare,Health Choice Generations HMO SNP,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H5590,Local CCP,Centene Corporation,Advantage by Bridgeway Health Solutions HMO SNP,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H5591,Local CCP,"Martin's Point Health Care, Inc.",Martin's Point Generations Advantage,5 stars,4 out of 5 stars,5 stars,5 stars,Not enough data to calculate stars for this category
H5594,Local CCP,"America's 1st Choice Holdings of Florida, LLC","Optimum HealthCare, Inc.",3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,5 stars
H5608,Local CCP,Denver Health Hospital Authority,Denver Health Medical Plan,3 out of 5 stars,3 out of 5 stars,1 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H5609,Local CCP,Golden Empire Managed Care,GEMCARE Health Plan,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars
H5619,Local CCP,Arcadian Management Services Inc.,Northeast Community Care,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H5628,Local CCP,"Molina Healthcare, Inc.,",Molina Healthcare of Utah,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5640,Local CCP,INLAND EMPIRE HEALTH PLAN,IEHP Medicare DualChoice,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H5649,Local CCP,Central Health Plan of California,Central Health Medicare Plan,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H5652,Local CCP,"UnitedHealth Group, Inc.",Erickson Advantage,5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H5656,Local CCP,Universal American Corp.,Universal American Corp.,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,1 out of 5 stars,4 out of 5 stars
H5665,Local CCP,XLHealth Corporation,Care Improvement Plus,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5679,Local CCP,"WellPoint, Inc.",Anthem Blue Cross and Blue Shield,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,Not enough data to calculate stars for this category
H5685,Local CCP,"Midwest Health Plan, Inc.",Midwest Advantage,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5696,Local CCP,"IDJB Investments, LLC",PUP,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H5698,Local CCP,Munich American Holding Corporation,Windsor Medicare Extra,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H5700,Local CCP,Arcadian Management Services Inc.,Arcadian Health Plan,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H5703,Local CCP,South Country Health Alliance,South Country Health Alliance,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5732,Local CCP,Triple-S Management Corporation,"Triple-S Salud, INC.",3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H5746,Local CCP,AMERIGROUP Corporation,Amerigroup Community Care of New Mexico,3 out of 5 stars,3 out of 5 stars,1 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5749,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H5750,Local CCP,Metropolitan Health Plan,Cornerstone Solutions,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5774,Local CCP,Triple-S Management Corporation,American Health Medicare,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H5782,Local CCP,PARTNERSHIP HEALTHPLAN OF CALIFORNIA,Partnership HealthPlan of California,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,Not enough data to calculate stars for this category
H5783,Local CCP,Arcadian Management Services Inc.,Southeast Community Care,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H5793,Local CCP,Aetna Inc.,Aetna Medicare,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,1 out of 5 stars,4 out of 5 stars
H5810,Local CCP,"Molina Healthcare, Inc.,",Molina Healthcare of California,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H5811,Local CCP,SCAN Health Plan,SCAN Health Plan,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H5813,Local CCP,Aetna Inc.,Aetna Medicare,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H5817,Local CCP,AMERIGROUP Corporation,Amerigroup Community Care,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5820,PFFS,"Universal Health Care Group, Inc.","UNIVERSAL HEALTH CARE INSURANCE COMPANY, INC.",2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H5821,Local CCP,MAPFRE PRAICO CORPORATION,MAPFRE LIFE INSURANCE COMPANY,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H5823,Local CCP,"Molina Healthcare, Inc.,","Molina Healthcare of Washington, Inc.",3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H5826,Local CCP,Community Health Plan of Washington,Community HealthFirst Medicare Advantage Plan,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H5832,Local CCP,Aetna Inc.,Aetna Medicare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5850,Local CCP,Coventry Health Care Inc.,Coventry Summit Health Plan,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H5852,Local CCP,AIDS Healthcare Foundation,Positive Healthcare Partners,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5854,Local CCP,"WellPoint, Inc.",Anthem Blue Cross and Blue Shield,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H5859,Local CCP,"CareOregon, Inc.",CareOregon Advantage,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,5 stars,5 stars
H5868,Local CCP,Humana Inc.,Humana Insurance Company,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars
H5883,Local CCP,Blue Cross Blue Shield of Michigan,Blue Care Network,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H5884,PFFS,BlueCross BlueShield of Tennessee,BlueCross BlueShield of Tennessee,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H5887,Local CCP,"First Medical Health Plan, Inc.","First Medical Health Plan, Inc.",3 out of 5 stars,1 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H5896,Local CCP,AMERIGROUP Corporation,Amerigroup Community Care,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H5926,Local CCP,"Molina Healthcare, Inc.,",Molina Healthcare of Michigan,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H5928,Local CCP,Care1st Health Plan,Care1st Medicare Advantage Plan,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5932,Local CCP,Gateway Health Plan,Gateway Health Plan Medicare Assured,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,3 out of 5 stars
H5938,Local CCP,Blue Cross and Blue Shield of Florida,Capital Health Plan,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,4 out of 5 stars
H5943,Local CCP,SCAN Health Plan,VillageHealth,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5950,Local CCP,Aetna Inc.,Aetna Medicare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5969,Local CCP,AlohaCare,AlohaCare,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H5970,Local CCP,Humana Inc.,Humana Insurance Company of New York,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H5980,Local CCP,Fidelis SecureCare,"Fidelis SecureCare of Texas, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5985,Local CCP,Vanguard Health Systems,Abrazo Advantage Health Plan,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H5989,Local CCP,Bethco Corporation,Comprehensive Care Management Corp.,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5991,Local CCP,Affinity Health Plan,Affinity Health Plan,4 out of 5 stars,4 out of 5 stars,2 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H5992,Local CCP,"Senior Whole Health, LLC",Senior Whole Health of New York,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5995,Local CCP,"Marion Polk Community Health Plan, LLC","Marion Polk Community Health Plan Advantage, Inc.",3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars
