2010 Domain Star View: Medicare Part C Report Card Master Table,,,,,,,,
Contract Number,Organization Type,Parent Organization,Organization Marketing Name,"Staying Healthy: Screenings, Tests and Vaccines",Managing Chronic (Long Term) Conditions,Ratings of Health Plan Responsiveness and Care,"Health Plan Members’ Complaints, Appeals, and Choosing to Leave",Health Plan’s Telephone Customer Service
H3528,Local CCP,EmblemHealth Inc.,"ConnectiCare, Inc.",3 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars,4 out of 5 stars,5 stars
H3533,Local CCP,Arcadian Management Services Inc.,Northeast Community Care,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3597,Local CCP,Aetna Inc.,Aetna Medicare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,3 out of 5 stars
H3613,National PACE,Concordia Care,Concordia Care,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3614,National PACE,TriHealth SeniorLink,Trihealth Seniorlink,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3619,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H3620,Local CCP,McKinley Life Insurance Company,PrimeTime Health Plan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars
H3623,Local CCP,Aetna Inc.,Aetna Medicare,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H3653,Local CCP,Promedica Health System,Paramount Elite,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H3655,Local CCP,"Wellpoint, Inc.",Anthem Blue Cross and Blue Shield,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H3659,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H3660,Local CCP,Summa Health System,SummaCare,4 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars,4 out of 5 stars
H3664,Local CCP,McKinley Life Insurance Company,PrimeTime Health Plan,4 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars,4 out of 5 stars
H3668,Local CCP,Trinity Health,MediGold,4 out of 5 stars,3 out of 5 stars,5 stars,5 stars,4 out of 5 stars
H3672,Local CCP,Health Plan of the Upper Ohio Valley,The Health Plan,3 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars,5 stars
H3706,Local CCP,Universal American Corp.,Universal American,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H3708,Local CCP,Universal American Corp.,Universal American,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars
H3709,Local CCP,Health Care Service Corporation,HISC - Blue Cross And Blue Shield Of Oklahoma,3 out of 5 stars,1 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H3749,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars
H3755,Local CCP,"CommunityCare Managed Healthcare Plans of OK, Inc.",CommunityCare Senior Health Plan,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H3805,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H3809,National PACE,Providence Health System,Providence ElderPlace Portland,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3810,Local CCP,Mid Rogue Community Health Plan,CareSource,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category,5 stars
H3811,Local CCP,Samaritan Health Services,Samaritan Advantage Health Plan,3 out of 5 stars,3 out of 5 stars,5 stars,5 stars,4 out of 5 stars
H3812,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H3813,Local CCP,The ODS Companies (ODS),"ODS Health Plan, Inc.",4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H3814,Local CCP,ATRIO Health Plans,ATRIO MyAdvantage,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H3815,Local CCP,Honored Citizens Choice Health Plan,Citizens Choice Healthplan,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,5 stars,5 stars
H3817,Local CCP,The Regence Group,Regence BlueCross BlueShield of Oregon,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars
H3818,Local CCP,FamilyCare Incorporated,"FamilyCare Health Plans, Inc.",3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,5 stars,3 out of 5 stars
H3864,Local CCP,"Clear One Health Plans, Inc.",Clear One Health Plans,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H3871,Local CCP,Red Medica De Puerto Rico Inc.,RedMed,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3887,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H3907,Local CCP,University of Pittsburgh Medical Center,UPMC Health Plan,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars
H3908,National PACE,Trustees of the University of Pennsylvania,Trustees Of The University Of Pennsylvania,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3909,Local CCP,Independence Blue Cross,Personal Choice 65,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H3912,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars
H3916,Local CCP,Highmark Inc.,Highmark Inc.,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H3917,National PACE,"Pittsburgh Care Partnership, Inc.",Community LIFE,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3918,National PACE,Living Independence for the Elderly,LIFE Pittsburgh,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3919,National PACE,St. Agnes Continuing Care Center,Mercy LIFE,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3920,Local CCP,"UnitedHealth Group, Inc.",Unison Advantage,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H3921,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H3923,Local CCP,Capital BlueCross,Capital Advantage Insurance Company,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H3924,Local CCP,Geisinger Health System,Geisinger Gold,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,4 out of 5 stars
H3925,National PACE,"Pennsylvania PACE, Inc.",Senior LIFE Johnstown,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3931,Local CCP,Aetna Inc.,Aetna Medicare,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H3942,National PACE,Elderhaus Inc.,Elderhaus PACE,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3949,Local CCP,"Bravo Health, Inc.",Bravo Health,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H3952,Local CCP,Independence Blue Cross,Keystone 65,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H3954,Local CCP,Geisinger Health System,Geisinger Gold,4 out of 5 stars,3 out of 5 stars,5 stars,5 stars,4 out of 5 stars
H3957,Local CCP,Highmark Inc.,"Keystone Health Plan West, Inc.",4 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars,4 out of 5 stars
H3959,Local CCP,Coventry Health Care Inc.,HealthAmerica Advantra,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H3962,Local CCP,Capital BlueCross,"Keystone Health Plan Central, Inc.",4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H3964,Local CCP,"Bravo Health, Inc.",Senior Partners,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H4003,Local CCP,"Aveta, LLC.",Medicare y Mucho Mßs,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H4004,Local CCP,"Aveta, LLC.","Preferred Medicare Choice, Inc.",3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H4005,Local CCP,Triple-S Management Corporation,"Triple-S Salud, Inc.",3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H4006,Local CCP,"Medical Card System, Inc.",MCS Classicare,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H4007,Local CCP,Humana Inc.,Humana Health Plans Of Puerto Rico Inc,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H4008,PFFS,Humana Inc.,"Humana Insurance Of Puerto Rico, Inc",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,3 out of 5 stars
H4009,Local CCP,"SDM Healthcare Management, Inc.",Salud Dorada con Medicare,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H4011,Local CCP,First Medical Health Plan,"First Medical Health Plan, Inc.",3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H4012,Local CCP,Triple-S Management Corporation,"Triple-S Salud, Inc.",2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,5 stars,2 out of 5 stars
H4036,Local CCP,"Wellpoint, Inc.",Anthem Blue Cross and Blue Shield,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,Not enough data to calculate stars for this category
H4102,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H4105,National PACE,PACE Organization of Rhode Island,Pace Organization Of Rhode Island,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H4106,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,3 out of 5 stars,Not enough data to calculate stars for this category,3 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars
H4125,Local CCP,Arcadian Management Services Inc.,Arcadian Health Plan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H4141,Local CCP,Humana Inc.,"Humana Employers Health Plan of Georgia, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4142,National PACE,Cherokee Nation Comprehensive Care Agency,Cherokee Elder Care,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H4152,Local CCP,Blue Cross & Blue Shield of Rhode Island,Blue Cross & Blue Shield of Rhode Island,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H4155,Local CCP,Public Health Trust of Miami-Dade County,JMH Health Plan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4203,National PACE,Palmetto Health Alliance,Palmetto SeniorCare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H4205,PFFS,BlueCross BlueShield of South Carolina (BCBSSC),Blue Cross Blue Shield of South Carolina,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H4209,Local CCP,BlueCross BlueShield of South Carolina (BCBSSC),Blue Cross Blue Shield of South Carolina,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H4213,PFFS,Arkansas Blue Cross Blue Shield,Arkansas Blue Cross - Medi-Pak Advantage,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4270,Local CCP,UCare Minnesota,UCare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5 stars,5 stars,4 out of 5 stars
H4305,National PACE,St. Bernard's Healthcare,Total Life Healthcare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H4346,Local CCP,CareMore Medical Enterprises,CareMore Health Plan of Nevada,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4382,Local CCP,"Jaahel Group, Inc.",ProHealth,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4402,National PACE,Alexian Brothers Community Services,Alexian Brothers Community Services,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H4406,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H4407,Local CCP,"HealthSpring, Inc.","Healthspring, Inc.",2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H4408,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,Not enough data to calculate stars for this category,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H4449,PFFS,"UnitedHealth Group, Inc.","Sierra Health and Life Insurance Company, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H4454,Local CCP,"HealthSpring, Inc.",Healthspring,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H4456,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H4461,Local CCP,Humana Inc.,"Cariten Health Plan, Inc.",4 out of 5 stars,2 out of 5 stars,5 stars,3 out of 5 stars,4 out of 5 stars
H4506,Local CCP,Universal American Corp.,Universal American,4 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H4510,Local CCP,Humana Inc.,"Humana Health Plan of Texas, Inc.",3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H4513,Local CCP,"HealthSpring, Inc.",Texas HealthSpring,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H4514,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H4517,National PACE,Amarillo Multisvc Ctr Fr the Aging Inc,Amarillo Multisvc Ctr For The Aging Inc,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H4518,National PACE,Bienvivir Senior Health Services,Bienvivir Senior Health Services,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H4520,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H4522,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H4523,Local CCP,Aetna Inc.,Aetna Medicare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars
H4524,Local CCP,Aetna Inc.,Aetna Medicare,3 out of 5 stars,Not enough data to calculate stars for this category,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars
H4525,Local CCP,Covenant Health System - Hendrick Health System,FirstCare Advantage,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H4527,Local CCP,"PSO Health Services, LLC",PHYSICIANS HEALTH CHOICE,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H4528,Local CCP,"Bravo Health, Inc.",Bravo Health,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H4529,Local CCP,Arcadian Management Services Inc.,Texas Community Care,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H4556,HCPP - 1833 Cost,Consolidated Assoc of Railroad Employees HC,Consolidated Assoc Of Railroad Employees Hc,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,Not enough data to calculate stars for this category
H4564,1876 Cost,Scott and White,Scott and White Health Plan SeniorCare,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,Not enough data to calculate stars for this category
H4590,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H4604,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H4605,Local CCP,The Regence Group,Regence BlueCross BlueShield of Utah,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H4606,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H4652,HCPP - 1833 Cost,Union Pacific Railroad Employees Health Systems,Union Pacific Railroad Employes Health Systems,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H4720,PFFS,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H4754,Local CCP,,Clear One Health Plans,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4774,PFFS,Humana Inc.,Humana Insurance Company of New York,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4779,Demo,"UnitedHealth Group, Inc.",Erickson Advantage,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H4836,PFFS,MEDICAL MUTUAL OF OHIO,Advantage Plan from Medical Mutual of Ohio,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H4837,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare Personal Care Plus,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H4875,Local CCP,Spectrum Health System,Priority Health Medicare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4906,HCPP - 1833 Cost,C & O Employees' Hospital Association,C and O Employees' Hospital Association,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H4908,Local CCP,Sentara Healthcare,Optima Medicare,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars
H4909,Local CCP,"Wellpoint, Inc.",Anthem Blue Cross and Blue Shield,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H4910,Local CCP,Aetna Inc.,Aetna Medicare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,3 out of 5 stars
H4917,PFFS,"Guardian Healthcare, Inc.","Guardian Healthcare, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4956,Local CCP,Humana Inc.,Humana Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4971,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H4979,PFFS,BlueCross BlueShield of Tennessee,BlueCross BlueShield of Tennessee,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5005,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H5006,PFFS,Munich American Holding Corporation,Sterling Life Insurance Company,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H5007,National PACE,Providence Health System,Providence Health System,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5008,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H5009,Local CCP,The Regence Group,Regence BlueShield,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H5010,Local CCP,The Regence Group,Asuris Northwest Health,4 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H5037,National PACE,"Mountain Empire Older Citizens, Inc",Mountain Empire PACE,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5041,Local CCP,Humana Inc.,Humana Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5042,Local CCP,"Capital District Physicians' Health Plan, Inc.",CDPHP Medicare Choices,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,4 out of 5 stars,5 stars
H5050,Local CCP,Group Health Cooperative,Group Health Cooperative,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,5 stars
H5087,Local CCP,Easy Choice Health Plan Inc.,Easy Choice Health Plan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,Not enough data to calculate stars for this category,5 stars
H5106,Local CCP,Highmark Inc.,Highmark Health Insurance Company,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars
H5151,Local CCP,Health Plan of the Upper Ohio Valley,The Health Plan,4 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars,4 out of 5 stars
H5162,Local CCP,Munich American Holding Corporation,Sterling Life Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5167,National PACE,Rocky Mountain Health Care Services,Rocky Mountain PACE,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5206,Local CCP,"Community Health Partnership, Inc.",Community Health Partnership,5 stars,3 out of 5 stars,5 stars,Not enough data to calculate stars for this category,4 out of 5 stars
H5207,Local CCP,"Community Care, Inc.",Community Care,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H5209,Local CCP,"Care Wisconsin First, Inc.","Care Wisconsin Health Plan, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H5211,Local CCP,Marshfield Clinic.,"Security Health Plan Of Wisconsin, Inc",4 out of 5 stars,3 out of 5 stars,5 stars,5 stars,4 out of 5 stars
H5212,National PACE,"Community Care, Inc.",Community Care,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5213,National PACE,"Total Community Care,LLC",Total Community Care,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5214,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H5215,Local CCP,Affinity Health System,Network Platinum Medicare Advantage Plans,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars
H5216,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,Not enough data to calculate stars for this category,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H5253,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H5256,1876 Cost,Medical Associates Clinic,Medical Associates Clinic Health Plan of Wisconsin,4 out of 5 stars,3 out of 5 stars,5 stars,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
